menu_lang,zh_TW,zh_CN,en_US,vi_VN,ja_JP,ko_KR,th_TH,id_ID
qpp_state_10,兌換失敗,兑换失败,兌換失敗,兌換失敗,兌換失敗,兌換失敗,兌換失敗,兌換失敗
qpp_state_11,票券已經使用過,票券已经使用过,票券已經使用過,票券已經使用過,票券已經使用過,票券已經使用過,票券已經使用過,票券已經使用過
qpp_state_12,資料錯誤,资料错误,資料錯誤,資料錯誤,資料錯誤,資料錯誤,資料錯誤,資料錯誤
qpp_state_13,資料已經過期,资料已经过期,資料已經過期,資料已經過期,資料已經過期,資料已經過期,資料已經過期,資料已經過期
qpp_state_14,禁止與非創建者交易,禁止与非创建者交易,禁止與非創建者交易,禁止與非創建者交易,禁止與非創建者交易,禁止與非創建者交易,禁止與非創建者交易,禁止與非創建者交易
qpp_state_15,禁止與創建者交易,禁止与创建者交易,禁止與創建者交易,禁止與創建者交易,禁止與創建者交易,禁止與創建者交易,禁止與創建者交易,禁止與創建者交易
qpp_state_16,不得重覆擁有,不得重覆拥有,不得重覆擁有,不得重覆擁有,不得重覆擁有,不得重覆擁有,不得重覆擁有,不得重覆擁有
qpp_state_17,同IP24H內不可申請超過10簡訊,同IP24H内不可申请超过10简讯,同IP24H內不可申請超過10簡訊,同IP24H內不可申請超過10簡訊,同IP24H內不可申請超過10簡訊,同IP24H內不可申請超過10簡訊,同IP24H內不可申請超過10簡訊,同IP24H內不可申請超過10簡訊
qpp_state_18,幾秒後才可交易,几秒后才可交易,幾秒後才可交易,幾秒後才可交易,幾秒後才可交易,幾秒後才可交易,幾秒後才可交易,幾秒後才可交易
qpp_state_19,對方不在線上,对方不在线上,對方不在線上,對方不在線上,對方不在線上,對方不在線上,對方不在線上,對方不在線上
qpp_state_20,QPP Coin 不足,QPP Coin 不足,QPP Coin 不足,QPP Coin 不足,QPP Coin 不足,QPP Coin 不足,QPP Coin 不足,QPP Coin 不足
qpp_state_21,物品鎖定中,物品锁定中,物品鎖定中,物品鎖定中,物品鎖定中,物品鎖定中,物品鎖定中,物品鎖定中
qpp_state_22,帳號呆帳中不得使用,帐号呆帐中不得使用,帳號呆帳中不得使用,帳號呆帳中不得使用,帳號呆帳中不得使用,帳號呆帳中不得使用,帳號呆帳中不得使用,帳號呆帳中不得使用
qpp_state_23,超過單月購點上限,超过单月购点上限,超過單月購點上限,超過單月購點上限,超過單月購點上限,超過單月購點上限,超過單月購點上限,超過單月購點上限
qpp_state_24,超過票券持有上限,超过票券持有上限,超過票券持有上限,超過票券持有上限,超過票券持有上限,超過票券持有上限,超過票券持有上限,超過票券持有上限
qpp_state_25,其他請求進行中,其他请求进行中,其他請求進行中,其他請求進行中,其他請求進行中,其他請求進行中,其他請求進行中,其他請求進行中
qpp_state_26,用戶物品餘額不足,用户物品余额不足,用戶物品餘額不足,用戶物品餘額不足,用戶物品餘額不足,用戶物品餘額不足,用戶物品餘額不足,用戶物品餘額不足
qpp_state_27,系統發生錯誤,系统发生错误,系統發生錯誤,系統發生錯誤,系統發生錯誤,系統發生錯誤,系統發生錯誤,系統發生錯誤
qpp_state_28,委託單不存在,委托单不存在,委託單不存在,委託單不存在,委託單不存在,委託單不存在,委託單不存在,委託單不存在
qpp_state_29,超過持有上限,超过持有上限,超過持有上限,超過持有上限,超過持有上限,超過持有上限,超過持有上限,超過持有上限
qpp_state_30,伺服器忙碌中,伺服器忙碌中,伺服器忙碌中,伺服器忙碌中,伺服器忙碌中,伺服器忙碌中,伺服器忙碌中,伺服器忙碌中
qpp_state_50,你沒申請驗證碼,你没申请验证码,你沒申請驗證碼,你沒申請驗證碼,你沒申請驗證碼,你沒申請驗證碼,你沒申請驗證碼,你沒申請驗證碼
qpp_state_51,驗證錯誤超過5次,验证错误超过5次,驗證錯誤超過5次,驗證錯誤超過5次,驗證錯誤超過5次,驗證錯誤超過5次,驗證錯誤超過5次,驗證錯誤超過5次
qpp_state_52,驗證碼錯誤,验证码错误,驗證碼錯誤,驗證碼錯誤,驗證碼錯誤,驗證碼錯誤,驗證碼錯誤,驗證碼錯誤
qpp_state_53,對方電話還在驗證時間內,对方电话还在验证时间内,對方電話還在驗證時間內,對方電話還在驗證時間內,對方電話還在驗證時間內,對方電話還在驗證時間內,對方電話還在驗證時間內,對方電話還在驗證時間內
qpp_state_54,操作次數超過限制,操作次数超过限制,操作次數超過限制,操作次數超過限制,操作次數超過限制,操作次數超過限制,操作次數超過限制,操作次數超過限制
qpp_state_55,無此資料,无此资料,無此資料,無此資料,無此資料,無此資料,無此資料,無此資料
qpp_state_56,此功能暫停中,此功能暂停中,此功能暫停中,此功能暫停中,此功能暫停中,此功能暫停中,此功能暫停中,此功能暫停中
qpp_state_57,無此授權,无此授权,無此授權,無此授權,無此授權,無此授權,無此授權,無此授權
qpp_state_58,此物品禁止交易,此物品禁止交易,此物品禁止交易,此物品禁止交易,此物品禁止交易,此物品禁止交易,此物品禁止交易,此物品禁止交易
qpp_state_59,識別已持有但作廢,识别已持有但作废,識別已持有但作廢,識別已持有但作廢,識別已持有但作廢,識別已持有但作廢,識別已持有但作廢,識別已持有但作廢
qpp_state_60,驗證碼已逾時,验证码已逾时,驗證碼已逾時,驗證碼已逾時,驗證碼已逾時,驗證碼已逾時,驗證碼已逾時,驗證碼已逾時
qpp_state_61,授權者 QPP Coin 不足,授权者 QPP Coin 不足,授權者 QPP Coin 不足,授權者 QPP Coin 不足,授權者 QPP Coin 不足,授權者 QPP Coin 不足,授權者 QPP Coin 不足,授權者 QPP Coin 不足
qpp_state_62,不得購買自己的訂單,不得购买自己的订单,不得購買自己的訂單,不得購買自己的訂單,不得購買自己的訂單,不得購買自己的訂單,不得購買自己的訂單,不得購買自己的訂單
qpp_state_63,授權者過久未登入,授权者过久未登入,授權者過久未登入,授權者過久未登入,授權者過久未登入,授權者過久未登入,授權者過久未登入,授權者過久未登入
qpp_state_64,QPP Login 失敗,QPP Login 失败,QPP Login 失敗,QPP Login 失敗,QPP Login 失敗,QPP Login 失敗,QPP Login 失敗,QPP Login 失敗
qpp_state_65,超過單次移轉上限,超过单次移转上限,超過單次移轉上限,超過單次移轉上限,超過單次移轉上限,超過單次移轉上限,超過單次移轉上限,超過單次移轉上限
qpp_state_66,超過購買上限,超过购买上限,超過購買上限,超過購買上限,超過購買上限,超過購買上限,超過購買上限,超過購買上限
qpp_state_67,任務已領取,任务已领取,任務已領取,任務已領取,任務已領取,任務已領取,任務已領取,任務已領取
qpp_state_70,邀請碼錯誤,邀请码错误,邀請碼錯誤,邀請碼錯誤,邀請碼錯誤,邀請碼錯誤,邀請碼錯誤,邀請碼錯誤
qpp_state_71,無此對象,无此对象,無此對象,無此對象,無此對象,無此對象,無此對象,無此對象
qpp_state_72,創建者無法使用此功能,创建者无法使用此功能,創建者無法使用此功能,創建者無法使用此功能,創建者無法使用此功能,創建者無法使用此功能,創建者無法使用此功能,創建者無法使用此功能
qpp_state_73,已過投票時間,已过投票时间,已過投票時間,已過投票時間,已過投票時間,已過投票時間,已過投票時間,已過投票時間
qpp_state_74,不得重覆投票,不得重覆投票,不得重覆投票,不得重覆投票,不得重覆投票,不得重覆投票,不得重覆投票,不得重覆投票
qpp_state_100,版本需更新,版本需更新,版本需更新,版本需更新,版本需更新,版本需更新,版本需更新,版本需更新
qpp_state_160,查無訂單,查无订单,查無訂單,查無訂單,查無訂單,查無訂單,查無訂單,查無訂單
qpp_state_161,已配過點數,已配过点数,已配過點數,已配過點數,已配過點數,已配過點數,已配過點數,已配過點數
qpp_state_162,配發失敗,配发失败,配發失敗,配發失敗,配發失敗,配發失敗,配發失敗,配發失敗
qpp_state_163,交易已退單,交易已退单,交易已退單,交易已退單,交易已退單,交易已退單,交易已退單,交易已退單
qpp_state_250,帳號已鎖定,帐号已锁定,帳號已鎖定,帳號已鎖定,帳號已鎖定,帳號已鎖定,帳號已鎖定,帳號已鎖定
go_title,連動問題的排除說明：,连动问题的排除说明：,Troubleshooting instructions for linkage problems:,Hướng dẫn khắc phục sự cố cho các sự cố liên kết:,連携関連の障害排除について：,연동 문제 배제 안내：,คำแนะนำในการแก้ไขปัญหาการเชื่อมต่อ:,Penjelasan cara pemecahan cara untuk tautan:
go_btn_text,安裝QPP數位背包,安装QPP数位背包,Install the QPP Digital Backpack,Install the QPP Digital Backpack,QPPデジタルバッグのインストール,QPP 디지털 백팩 설치,Install the QPP Digital Backpack,Install QPP digital Backpack
go_text1,－因社群軟體或是APP內建瀏覽器的阻擋，請當您用手機開連結時，使用Chrome或是Safari開啟。,－因社群软体或是APP内建浏览器的阻挡，请当您用手机开连结时，使用Chrome或是Safari开启。,"－Due to the obstruction of the social software or the built-in browser of the APP, please use Chrome or Safari to open the link with your mobile phone.","－Do sự cản trở của phần mềm xã hội hoặc trình duyệt  của APP, vui lòng sử dụng Chrome hoặc Safari để mở liên kết khi bạn mở liên kết bằng điện thoại di động của mình.",－ソーシャルアプリやアプリ内ブラウザからの阻害が受けるので、端末でリンクを開かれる際にChromeまたはSafariで使ってください。,－소셜 소프트웨어나 앱에 있는 브라우저로 인해 연결을 해제할 때 크롬이나 사파리에서 켜십시오.,－เนื่องจากการถูกบล็อกซอฟต์แวร์โซเชียลหรือเบราว์เซอร์ในตัวของ APP เมื่อใช้การเชื่อมต่อกับโทรศัพท์มือถือของคุณ โปรดใช้ChromeหรือSafari,"－karena sistem software sosial media atau browser bawaan aplikasi terhalang, silahkan gunakan Chrome atau Safari untuk membuka tautan dengan ponsel anda."
go_text2,－需透過手機開啟才能與QPP連動。,－需透过手机开启才能与QPP连动。,－It needs to be turned on by mobile phone to link with QPP.,－Cần được bật bằng điện thoại di động để liên kết với QPP.,－QPPとの連携は端末で開けなければなりません。,－핸드폰을 통해 켜야 QPP와 연동됩니다.,－ต้องผ่านโทรศัพท์มือถือถึงจะเชื่อมกับQPPได้,－Perlu menggunakan ponsel untuk terhubung dengan QPP.
go_text3_pc,－如果尚未安裝QPP，請往下方掃QR Code安裝QPP後再重新點擊連結。,－如果尚未安装QPP，请往下方扫QR Code安装QPP后再重新点击连结。,"－If QPP has not been installed, please scan the QR Code below to install QPP and click the link again.","－Nếu QPP chưa được cài đặt, vui lòng quét Mã QR bên  để cài đặt QPP rồi nhấp lại vào liên kết.",－まだQPPをインストールしない場合、下のQR Codeを読み取り、QPPをインストールしてから、もう一度リンクをクリックしてください。,"－QPP가 설치되지 않은 경우, QR코드를 아래로 스캔하거나  QPP를 설치 후 다시 연결을 클릭하세요.",－หากยังไม่ได้ติดตั้งQPP โปรดสแกนQR Code ติดตั้งQPPแล้วคลิกลิงค์ใหม่,"－Jika QPP belum terinstal, harap pindai QR-code."
go_text3_mb,－如果尚未安裝QPP，請往下方點擊前往Google Play或App Store安裝QPP後再重新點擊連結。,－如果尚未安装QPP，请往下方扫QR Code或点击前往Google Play或App Store安装QPP后再重新点击连结。,"－If QPP has not been installed, please click to go to Google Play or App Store to install QPP and click the link again.","－Nếu QPP chưa được cài đặt, vui  bên dưới hoặc nhấp vào Google Play hoặc App Store để cài đặt QPP rồi nhấp lại vào liên kết.",－まだQPPをインストールしない場合、Google PlayやApp StoreでQPPをインストールしてから、もう一度リンクをクリックしてください。,"－QPP가 설치되지 않은 경우,   구글플레이나 앱스토어로 QPP를 설치 후 다시 연결을 클릭하세요.",－หากยังไม่ได้ติดตั้งQPP ด้านล่างหรือไปที่Google PlayหรือApp Storeติดตั้งQPPแล้วคลิกลิงค์ใหม่,"－Jika QPP belum terinstal,  klik link untuk membuka google store atau app store."
go_text4_mb,如您尚未安裝QPP數位背包<br/>請點擊安裝QPP數位背包進行安裝。,如您尚未安装QPP数位背包<br/>请点击安装QPP数位背包进行安装。,If you have not installed the QPP digital backpack.<br/>Please click to Install QPP Digital Backpack.,If you have not installed the QPP digital backpack.<br/>Please click to Install QPP Digital Backpack.,まだQPPデジタルバッグをしていない場合、<br/>「QPPデジタルバッグのインストール」をクリックしてインストールしてください。,아직 QPP 디지털 백팩을 설치하지 않으셨다면 <br/>'QPP 디지털 백팩 설치'를 클릭하여 설치하시길 바랍니다.,If you have not installed the QPP digital backpack.<br/>Please click to Install QPP Digital Backpack.,Jika anda belum install QPP Digital Backpack.<br/>Silahkan klik QPP Digital Backpack untuk menginstal.
go_text5_mb,如您已安裝QPP數位背包<br/>請使用Chrome或Safari瀏覽器登入。,如您已安装QPP数位背包<br/>请使用Chrome或Safari浏览器登入。,If you have installed the QPP digital backpack.<br/>Please log in by Chrome or Safari browser.,If you have installed the QPP digital backpack.<br/>Please log in by Chrome or Safari browser.,すでにQPPデジタルバッグをインストールしている場合、<br/>ChromeやSafariウェブブラウザでログインしてください。,이미 QPP 디지털 백팩을 설치하셨다면<br/>Chrome 또는 Safari 브라우저를 통해 로그인하시길 바랍니다.,If you have installed the QPP digital backpack.<br/>Please log in by Chrome or Safari browser.,Jika anda telah install QPP digital Backpack.<br/>Silahkan gunakan Chrome atau Safari untuk login.
go_scan_via_qpp,掃描條碼開啟QPP,扫描条码开启QPP,Scan the QRcode to open the QPP.,Quét mã để mở QPP,コードをスキャンして、QPPを開いてください。,코드를 스캔하여 QPP앱을 오픈하세요.,สแกนบาร์โค้ดเพื่อเปิดQPP,Scan QR-Code untuk membuka QPP
go_open_download_qpp,可點擊開啟/下載QPP,可点击开启/下载QPP,Click to Open/Download the QPP.,Có thể kích hoạt/ tải QPP,クリックしすると、QPPが起動するやダウントンすることが実行されます。,QPP앱 오픈/다운로드를 클릭할 수 있습니다,สามารถคลิกเพื่อเปิด/ดาวน์โหลดQPP,Klik untuk membuka/ mengunduh QPP
vendor_login_title,連動問題的排除說明：,连动问题的排除说明：,Troubleshooting instructions for linkage problems:,Hướng dẫn khắc phục sự cố cho các sự cố liên kết:,連携関連の障害排除について：,연동 문제 배제 안내：,คำแนะนำในการแก้ไขปัญหาการเชื่อมต่อ:,Penjelasan cara pemecahan cara untuk tautan:
vendor_login_btn_text,安裝QPP數位背包,安装QPP数位背包,Install the QPP Digital Backpack,Install the QPP Digital Backpack,QPPデジタルバッグのインストール,QPP 디지털 백팩 설치,Install the QPP Digital Backpack,Install QPP digital Backpack
vendor_login_text1,－因社群軟體或是APP內建瀏覽器的阻擋，請當您用手機開連結時，使用Chrome或是Safari開啟。,－因社群软体或是APP内建浏览器的阻挡，请当您用手机开连结时，使用Chrome或是Safari开启。,"－Due to the obstruction of the social software or the built-in browser of the APP, please use Chrome or Safari to open the link with your mobile phone.","－Do sự cản trở của phần mềm xã hội hoặc trình duyệt  của APP, vui lòng sử dụng Chrome hoặc Safari để mở liên kết khi bạn mở liên kết bằng điện thoại di động của mình.",－ソーシャルアプリやアプリ内ブラウザからの阻害が受けるので、端末でリンクを開かれる際にChromeまたはSafariで使ってください。,－소셜 소프트웨어나 앱에 있는 브라우저로 인해 연결을 해제할 때 크롬이나 사파리에서 켜십시오.,－เนื่องจากการถูกบล็อกซอฟต์แวร์โซเชียลหรือเบราว์เซอร์ในตัวของ APP เมื่อใช้การเชื่อมต่อกับโทรศัพท์มือถือของคุณ โปรดใช้ChromeหรือSafari,"－karena sistem software sosial media atau browser bawaan aplikasi terhalang, silahkan gunakan Chrome atau Safari untuk membuka tautan dengan ponsel anda."
vendor_login_text2,－需透過手機開啟才能與QPP連動。,－需透过手机开启才能与QPP连动。,－It needs to be turned on by mobile phone to link with QPP.,－Cần được bật bằng điện thoại di động để liên kết với QPP.,－QPPとの連携は端末で開けなければなりません。,－핸드폰을 통해 켜야 QPP와 연동됩니다.,－ต้องผ่านโทรศัพท์มือถือถึงจะเชื่อมกับQPPได้,－Perlu menggunakan ponsel untuk terhubung dengan QPP.
vendor_login_text3_pc,－如果尚未安裝QPP，請往下方掃QR Code安裝QPP後再重新點擊連結。,－如果尚未安装QPP，请往下方扫QR Code安装QPP后再重新点击连结。,"－If QPP has not been installed, please scan the QR Code below to install QPP and click the link again.","－Nếu QPP chưa được cài đặt, vui lòng quét Mã QR bên  để cài đặt QPP rồi nhấp lại vào liên kết.",－まだQPPをインストールしない場合、下のQR Codeを読み取り、QPPをインストールしてから、もう一度リンクをクリックしてください。,"－QPP가 설치되지 않은 경우, QR코드를 아래로 스캔하거나  QPP를 설치 후 다시 연결을 클릭하세요.",－หากยังไม่ได้ติดตั้งQPP โปรดสแกนQR Code ติดตั้งQPPแล้วคลิกลิงค์ใหม่,"－Jika QPP belum terinstal, harap pindai QR-code."
vendor_login_text3_mb,－如果尚未安裝QPP，請往下方點擊前往Google Play或App Store安裝QPP後再重新點擊連結。,－如果尚未安装QPP，请往下方扫QR Code或点击前往Google Play或App Store安装QPP后再重新点击连结。,"－If QPP has not been installed, please click to go to Google Play or App Store to install QPP and click the link again.","－Nếu QPP chưa được cài đặt, vui  bên dưới hoặc nhấp vào Google Play hoặc App Store để cài đặt QPP rồi nhấp lại vào liên kết.",－まだQPPをインストールしない場合、Google PlayやApp StoreでQPPをインストールしてから、もう一度リンクをクリックしてください。,"－QPP가 설치되지 않은 경우,   구글플레이나 앱스토어로 QPP를 설치 후 다시 연결을 클릭하세요.",－หากยังไม่ได้ติดตั้งQPP ด้านล่างหรือไปที่Google PlayหรือApp Storeติดตั้งQPPแล้วคลิกลิงค์ใหม่,"－Jika QPP belum terinstal,  klik link untuk membuka google store atau app store."
vendor_login_text4_mb,如您尚未安裝QPP數位背包<br/>請點擊安裝QPP數位背包進行安裝。,如您尚未安装QPP数位背包<br/>请点击安装QPP数位背包进行安装。,If you have not installed the QPP digital backpack.<br/>Please click to Install QPP Digital Backpack.,If you have not installed the QPP digital backpack.<br/>Please click to Install QPP Digital Backpack.,まだQPPデジタルバッグをしていない場合、<br/>「QPPデジタルバッグのインストール」をクリックしてインストールしてください。,아직 QPP 디지털 백팩을 설치하지 않으셨다면 <br/>'QPP 디지털 백팩 설치'를 클릭하여 설치하시길 바랍니다.,If you have not installed the QPP digital backpack.<br/>Please click to Install QPP Digital Backpack.,Jika anda belum install QPP Digital Backpack.<br/>Silahkan klik QPP Digital Backpack untuk menginstal.
vendor_login_text5_mb,如您已安裝QPP數位背包<br/>請使用Chrome或Safari瀏覽器登入。,如您已安装QPP数位背包<br/>请使用Chrome或Safari浏览器登入。,If you have installed the QPP digital backpack.<br/>Please log in by Chrome or Safari browser.,If you have installed the QPP digital backpack.<br/>Please log in by Chrome or Safari browser.,すでにQPPデジタルバッグをインストールしている場合、<br/>ChromeやSafariウェブブラウザでログインしてください。,이미 QPP 디지털 백팩을 설치하셨다면<br/>Chrome 또는 Safari 브라우저를 통해 로그인하시길 바랍니다.,If you have installed the QPP digital backpack.<br/>Please log in by Chrome or Safari browser.,Jika anda telah install QPP digital Backpack.<br/>Silahkan gunakan Chrome atau Safari untuk login.
vendor_login_scan_via_qpp,掃描條碼開啟QPP,扫描条码开启QPP,Scan the QRcode to open the QPP.,Quét mã để mở QPP,コードをスキャンして、QPPを開いてください。,코드를 스캔하여 QPP앱을 오픈하세요.,สแกนบาร์โค้ดเพื่อเปิดQPP,Scan QR-Code untuk membuka QPP
vendor_login_open_download_qpp,可點擊開啟/下載QPP,可点击开启/下载QPP,Click to Open/Download the QPP.,Có thể kích hoạt/ tải QPP,クリックしすると、QPPが起動するやダウントンすることが実行されます。,QPP앱 오픈/다운로드를 클릭할 수 있습니다,สามารถคลิกเพื่อเปิด/ดาวน์โหลดQPP,Klik untuk membuka/ mengunduh QPP
error_page_text1,請檢查連結的網址是否有誤，如檢查無誤但還有問題請稍候再嘗試。,请检查连结的网址是否有误，如检查无误但还有问题请稍候再尝试。,"Please check whether the linked URL is wrong, if the check is correct but there are still problems, please try again later.","Vui lòng kiểm tra xem URL được liên kết có sai hay không, nếu không có gì bất thường nhưng vẫn có vấn đề, vui lòng thử lại sau.",リンクのURLは正しいかどうかご確認してください。間違いない場合、しばらくお待ちください。,연결된 인터넷 주소가 잘못되었는지 확인해 주세요. 만약 오류는 없으나 문제가 있으면 잠시 후에 다시 시도해 주세요.,โปรดตรวจลิงค์ของเว็บมีที่ผิดพลาดหรือไม่ หากไม่มีที่ผิดพลาดแต่ยังมีปัญหาโปรดลองอีกครั้งในภายหลัง,"Silahkan cek ulang apakah link benar, Jika benar tapi masih ada masalah, silahkan coba beberapa saat lagi."
error_page_text2_pc,－如果尚未安裝QPP，請往下方掃QR Code安裝QPP後再重新點擊連結。,－如果尚未安装QPP，请往下方扫QR Code安装QPP后再重新点击连结。,"－If QPP has not been installed, please scan the QR Code below to install QPP and click the link again.","－Nếu QPP chưa được cài đặt, vui lòng quét Mã QR bên  để cài đặt QPP rồi nhấp lại vào liên kết.",－まだQPPをインストールしない場合、下のQR Codeを読み取り、QPPをインストールしてから、もう一度リンクをクリックしてください。,"－QPP가 설치되지 않은 경우, QR코드를 아래로 스캔하거나  QPP를 설치 후 다시 연결을 클릭하세요.",－หากยังไม่ได้ติดตั้งQPP โปรดสแกนQR Code ติดตั้งQPPแล้วคลิกลิงค์ใหม่,"－Jika QPP belum terinstal, harap pindai QR-code."
error_page_text2_mb,－如果尚未安裝QPP，請往下方點擊前往Google Play或App Store安裝QPP後再重新點擊連結。,－如果尚未安装QPP，请往下方点击前往Google Play或App Store安装QPP后再重新点击连结。,"－If QPP has not been installed, please click to go to Google Play or App Store to install QPP and click the link again.","－Nếu QPP chưa được cài đặt, vui  bên dưới hoặc nhấp vào Google Play hoặc App Store để cài đặt QPP rồi nhấp lại vào liên kết.",－まだQPPをインストールしない場合、Google PlayやApp StoreでQPPをインストールしてから、もう一度リンクをクリックしてください。,"－QPP가 설치되지 않은 경우,   구글플레이나 앱스토어로 QPP를 설치 후 다시 연결을 클릭하세요.",－หากยังไม่ได้ติดตั้งQPP ด้านล่างหรือไปที่Google PlayหรือApp Storeติดตั้งQPPแล้วคลิกลิงค์ใหม่,"－Jika QPP belum terinstal,  klik link untuk membuka google store atau app store."
error_page_scan_via_qpp,掃描條碼開啟QPP,扫描条码开启QPP,Scan the QRcode to open the QPP.,Quét mã để mở QPP,コードをスキャンして、QPPを開いてください。,코드를 스캔하여 QPP앱을 오픈하세요.,สแกนบาร์โค้ดเพื่อเปิดQPP,Scan QR-Code untuk membuka QPP
error_page_open_download_qpp,可點擊開啟/下載QPP,可点击开启/下载QPP,Click to Open/Download the QPP.,Có thể kích hoạt/ tải QPP,クリックしすると、QPPが起動するやダウントンすることが実行されます。,QPP앱 오픈/다운로드를 클릭할 수 있습니다,สามารถคลิกเพื่อเปิด/ดาวน์โหลดQPP,Klik untuk membuka/ mengunduh QPP
error_page_nickname,暱稱,昵称,Username,Nickname,ニックネーム,닉네임,ชื่อเล่น,Username
error_page_open_qpp,開啟QPP數位背包,开启QPP数位背包,Open Qpp,Khởi động QPP,QPPを開く,QPP 열기,เปิด QPP,Buka QPP
error_page_claim,領取,领取,Claim,Nhận,受け取る,수령,รับ,Klaim
error_page_exchange,兌換,兑换,Exchange,Trao đổi,引換,교환,เปลี่ยน,Menukar
error_page_open_qpp_received,開啟QPP領取,开启QPP领取,Open QPP to claim.,Mở QPP để nhận,QPPを開き、受け取りましょう。,QPP오픈하여 수령,เปิิด QPPเพื่อรับ,Buka QPP utk mengklaim
error_page_info_notyet,尚未新增簡介,尚未新增简介,No introduction yet,Chưa thêm giới thiệu,自己紹介は入力してません。,간단한 소개를 아직 추가되지 않았습니다.,ยังไม่เพิ่มบทนำ,Belum ada perkenalan
error_page_launch_qpp,可開啟QPP應用程式觀看個人資訊,可开启QPP应用程式观看个人资讯,Open the QPP to view personal information.,Có thể ứng dụng QPP để xem thông tin cá nhân,QPPを開くとプロフィールを確認できます。,QPP앱을 오픈하여 개인 정보를 확인할 수 있습니다,สามารถเปิดQPPเพื่อดูข้อมูลส่วนบุคคล,Buka QPP untuk melihat data pribadi
error_page_scan_via_qpp,掃描條碼開啟QPP,扫描条码开启QPP,Scan the QRcode to open the QPP.,Quét mã để mở QPP,コードをスキャンして、QPPを開いてください。,코드를 스캔하여 QPP앱을 오픈하세요.,สแกนบาร์โค้ดเพื่อเปิดQPP,Scan QR-Code untuk membuka QPP
membership_fetch_title,透過行動條碼加入QPP 會員卡,透过行动条码加入QPP 会员卡,Join QPP membership via QR Code.,Thông qua mã quét thêm thẻ hội viên QPP,QRコードにて会員カードを追加する,행동 코드를 통해 QPP 회원 카드에 가입하기,เข้าร่วมบัตรสมาชิก QPP ผ่านบาร์โค้ดมือถือ,Bergabunglah dengan membership QPP melalui QR Code.
membership_fetch_summary,請在QPP應用程式上開啟「背包」分頁，點選畫面右上方「 ⋮ 」，<br />接著點選「掃描器」，然後掃描此行動條碼。,请在QPP应用程式上开启「背包」分页，点选画面右上方「 ⋮ 」，<br />接着点选「扫描器」，然后扫描此行动条码。,"Please open ""Backpack"" page in QPP applicaion, tap "" ⋮ "" on the top right corner of the screen, then tap ""Scanner"", and scan this QR Code.","Vui lòng trên ứng dụng QPP mở 「balô」, chọn phía phải phía trên màn hình 「 ⋮ 」, tiếp theo chọn 「máy quét」, sau đó quét mã quét này ",QPPアプリで「バッグ」に入り、右上の「 ⋮ 」で「スキャンナー」を選択して、<br />QRコードをスキャンしてください。,QPP 앱에서 「인벤토리」페이지를 열고 화면 오른쪽 상단에「⋮」을 클릭하세요.<br />다음으로 스캐너를 선택하고 해당 행동 코드를 스캔하세요.,"โปรดอยู่แอป QPP เปิดหน้า ""กระเป๋า"" และคลิกด้านบนขวาของหน้าจอ "" ⋮ "" แล้วคลิก ""สแกนเนอร์"" สแกนบาร์โค้ดนี้","Silakan buka halaman ""Backpack"" di aplikasi APP, klik ""⋮"" di sudut kanan atas layar, lalu ketuk ""Scanner"", dan scan QR code ini."
membership_fetch_toknow,進一步了解QPP,进一步了解QPP,Know more about QPP,Tiến thêm bước nữa tìm hiểu QPP,QPPをもっと見る,QPP에 대해 더 알아보기,เรียนรู้เพิ่มเติมเกี่ยวกับ QPP,selebihnya tentang QPP
membership_fetch_m_title,請啟動QPP應用程式<br />加入QPP 會員卡,请启动QPP应用程式<br />加入QPP 会员卡,Please launch QPP application.<br />Join QPP membership.,Mời khởi động ứng dụng QPP<br />Thực hiện các bước,QPPアプリを起動し、会員カードを追加してください。,QPP 앱을 오픈하세요<br />QPP  회원 카드에 가입하기,โปรดเปิดแอป QPP<br />เข้าร่วมบัตรสมาชิก QPP,Silakan launch aplikasi QPP<br />Bergabunglah dengan menjadi anggota QPP
event_fan_card_slogan,獎金10萬元等你來挑戰！,"奖金3,500元美金等你来挑战!","Win the challenge and get 3,500 USD !","Win the challenge and get 3,500 USD !","賞金＄3,500ドルが待ってる!",도전하여 상금 3500 달러 획득가세요!,"Win the challenge and get 3,500 USD !",獎金10萬元等你來挑戰！
event_fan_card_tab_1,活動<wbr>辦法,活动<wbr>办法,Event Rules,Event Rules,イベント<wbr>内容,이벤트 방법,Event Rules,活動<wbr>辦法
event_fan_card_tab_2,實時<wbr>排名,实时<wbr>排名,Real Time Ranking,Real Time Ranking,リアルタイム<wbr>ランキング,실시간 랭킹,Real Time Ranking,實時<wbr>排名
event_fan_card_tab_3,實例<wbr>參考,实例<wbr>参考,Examples,Examples,参考例,실제 사례 참조,Examples,實例<wbr>參考
event_fan_card_qr_title,登入QPP參加活動,登入QPP参加活动,Join the Challenge,Join the Challenge,QPPログイン,QPP에 로그인하기,Join the Challenge,登入QPP參加活動
event_fan_card_qr_p,掃描 QRcode 下載,扫描QRcode下载,Scan to Download QPP,Scan to Download QPP,QRコードでダウンロード,스캔하여 다운로드 받기,Scan to Download QPP,掃描 QRcode 下載
